Country Name,Life exp,GDPPC,Export,Import,Fertility,ChildMortality,Inflation
Gabon,65.82,8635.33,11280880845,3405765092,3.491,39.7,1.086907465
"Gambia, The",62.08,772.15,131923456.4,726103441,4.684,47.9,7.370347589
Georgia,71.69,5023.27,8045446633,11109489892,2.081,9.5,9.566914338
Germany,80.9,51203.55,2.00E+12,1.78E+12,1.58,3.6,3.066666667
Ghana,63.8,2363.3,23206601901,22131745925,3.563,44,9.971088675
Gibraltar,79.33,43000,124000000,9370000000,1.848,6.38,7.9
Greece,80.18,20192.6,87827556200,1.04E+11,1.39,3.7,1.22382501
Greenland,71.15,,,,1.8,,0
Grenada,74.94,9010.57,29900000,462000000,2.004,16.2,1.219511939
Guam,76.66,35904.86,186000000,3667000000,2.569,7.718,4
Guatemala,69.24,5025.54,15296677105,27577153781,2.395,23,4.261051274
Guinea,58.89,1189.18,10349491215,10953261528,4.399,98.7,12.59728826
Guinea-Bissau,59.65,795.12,172000000,420000000,4.005,74.3,2.242488796
Guyana,65.67,9998.54,4890000000,4920000000,2.397,27.7,5.032855746
Haiti,63.19,1829.59,1490135681,6269037074,2.814,58.6,16.84152402
Honduras,70.12,2771.72,10957691939,17639425899,2.363,16.6,4.480879634
"Hong Kong SAR, China",85.49,49800.54,7.51E+11,7.34E+11,0.772,1.169,1.568758344
Hungary,74.47,18728.12,1.48E+11,1.48E+11,1.59,4,5.110965344
Iceland,83.12,68727.64,9779499273,10236699691,1.82,2.6,4.444239702
India,67.24,2256.59,6.80E+11,7.59E+11,2.031,30.6,5.131407472
Indonesia,67.57,4332.71,2.56E+11,2.24E+11,2.175,22.2,1.560129905
"Iran, Islamic Rep.",73.88,4091.21,82155721446,77462796004,1.692,12.6,43.38901627
Iraq,70.38,4775.38,78260500000,50259500000,3.496,24.5,6.041864891
Ireland,82.1,100172.08,6.78E+11,4.79E+11,1.72,3.1,2.358142962
Isle of Man,80.53,87157.47,,,1.564,,0
Israel,82.5,52170.71,1.44E+11,1.25E+11,3,3.4,1.492288454
Italy,82.8,35657.5,6.89E+11,6.39E+11,1.25,2.6,1.873783258
Jamaica,70.5,5183.58,4042306382,6709997531,1.352,12.4,5.862782428
Japan,84.45,39312.66,9.10E+11,9.36E+11,1.3,2.3,-0.233352779
